customer_id,predicted_label,risk_score
SYNID0100000167,0,0.3208312
SYNID0100000431,0,0.39019707
SYNID0100000485,0,0.22326979
SYNID0100000539,0,0.6602317
SYNID0100000932,0,0.72774875
SYNID0100001185,0,0.21049
SYNID0100001300,0,0.5747777
SYNID0100001310,0,0.33838838
SYNID0100001952,0,0.17784625
SYNID0100002045,0,0.44912866
SYNID0100002163,0,0.78227246
SYNID0100002187,0,0.2900218
SYNID0100002198,0,0.2832618
SYNID0100002385,0,0.16823907
SYNID0100002875,0,0.23218943
SYNID0100003249,0,0.4740676
SYNID0100003319,0,0.58764976
SYNID0100003755,0,0.23416466
SYNID0100004490,0,0.17493021
SYNID0100004580,0,0.17945544
SYNID0100004593,0,0.6678998
SYNID0100004629,0,0.1664256
SYNID0100004657,0,0.15659739
SYNID0100004837,0,0.2953955
SYNID0100004848,0,0.5041399
SYNID0100005297,0,0.73608106
SYNID0100005641,0,0.25498196
SYNID0100005686,0,0.28310943
SYNID0100005856,0,0.49671745
SYNID0100006155,0,0.18497388
SYNID0100006219,0,0.6984082
SYNID0100006262,0,0.1613339
SYNID0100006348,0,0.4954921
SYNID0100006667,0,0.21106139
SYNID0100006800,0,0.6102375
SYNID0100006895,0,0.56589836
SYNID0100006941,0,0.62255573
SYNID0100007436,0,0.24068326
SYNID0100007570,0,0.5432355
SYNID0100007620,1,0.99996775
SYNID0100007638,0,0.2516745
SYNID0100008358,0,0.5630515
SYNID0100008611,0,0.5659205
SYNID0100008961,1,1.0
SYNID0100009174,0,0.5657089
SYNID0100009213,0,0.24340828
SYNID0100009417,0,0.17427932
SYNID0100009470,0,0.53055423
SYNID0100009541,0,0.422574
SYNID0100009578,0,0.50933653
SYNID0100009762,0,0.25704476
SYNID0100009956,0,0.68751204
SYNID0100010089,0,0.176516
SYNID0100010329,0,0.39012584
SYNID0100010571,0,0.6081824
SYNID0100010698,0,0.63879013
SYNID0100011209,0,0.39832583
SYNID0100011315,0,0.5985146
SYNID0100011481,0,0.4221241
SYNID0100011849,0,0.16596593
SYNID0100012045,0,0.23253214
SYNID0100012111,0,0.41447255
SYNID0100012205,0,0.30589408
SYNID0100012410,0,0.3647167
SYNID0100012464,0,0.19934587
SYNID0100012512,0,0.47357786
SYNID0100012539,0,0.1940494
SYNID0100013163,0,0.5355958
SYNID0100013722,0,0.45187202
SYNID0100013886,0,0.60637647
SYNID0100014085,0,0.20541795
SYNID0100014233,0,0.43757164
SYNID0100014489,0,0.21245714
SYNID0100014795,0,0.17886747
SYNID0100014851,0,0.5043582
SYNID0100015045,0,0.5568269
SYNID0100015109,0,0.46585417
SYNID0100015225,0,0.28454226
SYNID0100015975,0,0.20854503
SYNID0100016064,0,0.19147971
SYNID0100016314,0,0.20698495
SYNID0100016895,0,0.62131065
SYNID0100017219,1,1.0
SYNID0100017804,0,0.22553925
SYNID0100018428,0,0.5377365
SYNID0100018441,0,0.31762993
SYNID0100018558,0,0.25595245
SYNID0100018651,0,0.5590489
SYNID0100018816,0,0.38552812
SYNID0100018982,0,0.3829165
SYNID0100019186,0,0.43738914
SYNID0100019260,0,0.51870686
SYNID0100019419,0,0.38819262
SYNID0100019645,0,0.6405236
SYNID0100019726,0,0.7031926
SYNID0100019883,0,0.5133148
SYNID0100020142,0,0.39870638
SYNID0100020166,0,0.16734901
SYNID0100020197,0,0.48041865
SYNID0100020265,0,0.19450498
SYNID0100020731,0,0.6342022
SYNID0100020773,0,0.49061945
SYNID0100021218,0,0.28805432
SYNID0100021236,0,0.16396181
SYNID0100021299,0,0.29265538
SYNID0100021463,0,0.1861718
SYNID0100022238,1,1.0
SYNID0100022248,0,0.6629758
SYNID0100022308,0,0.16959979
SYNID0100022897,0,0.7222613
SYNID0100023259,0,0.2817823
SYNID0100023475,0,0.394459
SYNID0100023734,0,0.7304596
SYNID0100023889,0,0.36937147
SYNID0100024328,0,0.16001552
SYNID0100024437,0,0.34569985
SYNID0100024598,0,0.62921226
SYNID0100024772,0,0.49240512
SYNID0100024936,0,0.15823448
SYNID0100025173,0,0.2703228
SYNID0100025567,0,0.34661496
SYNID0100025619,0,0.37977737
SYNID0100025622,0,0.6356418
SYNID0100025820,0,0.72703755
SYNID0100026243,0,0.24165395
SYNID0100026488,1,0.88075614
SYNID0100026603,0,0.551128
SYNID0100026730,0,0.23710355
SYNID0100027385,0,0.29355645
SYNID0100028117,0,0.35560635
SYNID0100028203,0,0.26230192
SYNID0100028625,0,0.61791784
SYNID0100028682,0,0.50903976
SYNID0100028742,0,0.44850966
SYNID0100028784,0,0.33972785
SYNID0100028955,0,0.42546678
SYNID0100029550,0,0.16640738
SYNID0100029659,0,0.5085842
SYNID0100029977,0,0.50860965
SYNID0100030114,0,0.40440667
SYNID0100030522,0,0.26945347
SYNID0100030710,0,0.34099942
SYNID0100030983,0,0.3972372
SYNID0100030996,0,0.59243494
SYNID0100031148,0,0.30843857
SYNID0100031276,0,0.4212446
SYNID0100031448,0,0.60423064
SYNID0100031720,0,0.49538368
SYNID0100031724,1,1.0
SYNID0100031730,0,0.32940635
SYNID0100031829,0,0.37596902
SYNID0100032192,0,0.27493963
SYNID0100032279,0,0.37378845
SYNID0100032627,0,0.26477438
SYNID0100033027,0,0.47589552
SYNID0100033322,0,0.46179643
SYNID0100033763,0,0.39046308
SYNID0100033846,0,0.42315245
SYNID0100033968,0,0.51656467
SYNID0100035506,0,0.26972046
SYNID0100035641,0,0.5836908
SYNID0100035690,0,0.5299701
SYNID0100035703,0,0.8108564
SYNID0100036197,0,0.16554774
SYNID0100036671,0,0.43994206
SYNID0100036688,1,0.9994748
SYNID0100036773,1,0.9620237
SYNID0100036786,0,0.1794368
SYNID0100036935,0,0.19927065
SYNID0100037007,0,0.43923318
SYNID0100037208,0,0.6278679
SYNID0100037226,0,0.59058833
SYNID0100037366,1,0.9642228
SYNID0100037477,0,0.37552553
SYNID0100037509,0,0.3995165
SYNID0100037607,0,0.24666797
SYNID0100037666,0,0.4963327
SYNID0100037728,0,0.38998976
SYNID0100037869,0,0.5839598
SYNID0100037890,0,0.35970017
SYNID0100038038,0,0.5462271
SYNID0100038086,0,0.6529059
SYNID0100038539,0,0.5053325
SYNID0100038708,0,0.1727498
SYNID0100038801,0,0.4718347
SYNID0100038880,0,0.4499206
SYNID0100038978,0,0.5418411
SYNID0100039084,0,0.37581557
SYNID0100039312,0,0.16975994
SYNID0100039424,0,0.23122703
SYNID0100039780,0,0.27955317
SYNID0100040148,0,0.638133
SYNID0100040316,0,0.18608761
SYNID0100040454,0,0.2692922
SYNID0100040792,0,0.6073323
SYNID0100040885,0,0.8042136
SYNID0100040970,0,0.70882004
SYNID0100041064,0,0.26582924
SYNID0100041327,0,0.34796846
SYNID0100041519,0,0.38452762
SYNID0100041539,0,0.5681196
SYNID0100041876,0,0.3901536
SYNID0100042124,0,0.3738379
SYNID0100042256,0,0.19368605
SYNID0100042517,0,0.6449926
SYNID0100042626,0,0.5690711
SYNID0100042902,0,0.46722203
SYNID0100042905,0,0.575582
SYNID0100043003,0,0.32035267
SYNID0100043540,0,0.47388715
SYNID0100043914,0,0.23097053
SYNID0100044500,0,0.2427099
SYNID0100044704,0,0.41161683
SYNID0100045225,0,0.5428412
SYNID0100045411,0,0.21594524
SYNID0100045578,0,0.8322355
SYNID0100045811,0,0.68442553
SYNID0100046345,0,0.25242826
SYNID0100046511,0,0.23930863
SYNID0100046583,0,0.19470912
SYNID0100046681,0,0.16386032
SYNID0100046751,0,0.6212007
SYNID0100046933,0,0.33541587
SYNID0100047082,0,0.30359402
SYNID0100047241,0,0.35130957
SYNID0100047421,0,0.47922
SYNID0100047746,1,0.98809695
SYNID0100047852,0,0.50729215
SYNID0100047938,0,0.2723772
SYNID0100048054,0,0.18233885
SYNID0100048110,0,0.256366
SYNID0100048201,0,0.52909935
SYNID0100048220,0,0.262995
SYNID0100048513,0,0.40882802
SYNID0100048554,0,0.16407695
SYNID0100048602,0,0.18733816
SYNID0100048631,0,0.47324538
SYNID0100048646,0,0.51023716
SYNID0100049026,0,0.24396624
SYNID0100049262,0,0.21743935
SYNID0100049538,0,0.6883236
SYNID0100049761,0,0.5924449
SYNID0100049825,0,0.24750409
SYNID0100050100,0,0.18240629
SYNID0100050622,0,0.31982222
SYNID0100050795,0,0.19329795
SYNID0100050922,0,0.24493018
SYNID0100051035,0,0.3116257
SYNID0100051037,0,0.61438465
SYNID0100051071,0,0.5788125
SYNID0100051199,0,0.51448745
SYNID0100051414,0,0.8049403
SYNID0100051424,0,0.44862598
SYNID0100051465,0,0.672333
SYNID0100052024,0,0.3619867
SYNID0100052418,0,0.32074678
SYNID0100052442,0,0.35292467
SYNID0100052942,0,0.5492943
SYNID0100053138,0,0.17846003
SYNID0100053671,0,0.18350509
SYNID0100053896,1,0.99999666
SYNID0100054434,0,0.44953895
SYNID0100054859,0,0.23022732
SYNID0100054894,0,0.6230923
SYNID0100055597,0,0.27988228
SYNID0100055665,1,1.0
SYNID0100055741,0,0.50943774
SYNID0100056156,0,0.591021
SYNID0100056283,0,0.5711432
SYNID0100056875,0,0.39675748
SYNID0100057662,0,0.34614843
SYNID0100058090,0,0.3733693
SYNID0100058456,0,0.5485908
SYNID0100058587,0,0.18552043
SYNID0100059315,0,0.40329334
SYNID0100059367,0,0.6111367
SYNID0100059490,1,0.9198206
SYNID0100059769,0,0.25883272
SYNID0100060456,0,0.5393368
SYNID0100060458,0,0.5408197
SYNID0100060562,0,0.17794245
SYNID0100060727,0,0.31579053
SYNID0100060883,0,0.5605034
SYNID0100060969,0,0.56317914
SYNID0100061097,0,0.5780486
SYNID0100062156,0,0.56324124
SYNID0100062402,0,0.18104874
SYNID0100062584,0,0.60476726
SYNID0100063099,0,0.2736996
SYNID0100063274,0,0.18080781
SYNID0100063316,0,0.40689492
SYNID0100063360,0,0.50862783
SYNID0100063472,0,0.20172432
SYNID0100063874,0,0.60496366
SYNID0100063994,0,0.27458447
SYNID0100064304,0,0.38082725
SYNID0100064470,1,0.9630962
SYNID0100064485,1,1.0
SYNID0100064835,0,0.2538486
SYNID0100064958,0,0.54017514
SYNID0100065426,0,0.17538947
SYNID0100065920,0,0.25360325
SYNID0100066045,0,0.5848334
SYNID0100067005,0,0.83816266
SYNID0100067029,0,0.37653077
SYNID0100067162,0,0.52527094
SYNID0100067177,0,0.23370168
SYNID0100067217,0,0.31877765
SYNID0100067250,0,0.21189389
SYNID0100067364,0,0.41755056
SYNID0100067531,0,0.41658494
SYNID0100067628,0,0.33048904
SYNID0100067668,0,0.4626244
SYNID0100067868,0,0.27854684
SYNID0100067899,0,0.471335
SYNID0100067923,0,0.4409541
SYNID0100068308,0,0.5153286
SYNID0100068500,0,0.27612656
SYNID0100068537,0,0.53541404
SYNID0100068610,1,0.8896578
SYNID0100068662,0,0.5658311
SYNID0100068749,0,0.53586286
SYNID0100068783,0,0.4153494
SYNID0100068792,0,0.43047106
SYNID0100068815,1,1.0
SYNID0100068827,0,0.30266476
SYNID0100069423,0,0.4620282
SYNID0100069524,0,0.4535207
SYNID0100069632,0,0.42312756
SYNID0100069844,0,0.23975413
SYNID0100069957,0,0.3719304
SYNID0100069965,0,0.29834554
SYNID0100070134,0,0.29902682
SYNID0100070399,0,0.36095726
SYNID0100070470,0,0.27474624
SYNID0100070564,0,0.6432638
SYNID0100070637,0,0.34233257
SYNID0100070688,0,0.52615213
SYNID0100071116,0,0.22525331
SYNID0100071235,0,0.51814026
SYNID0100071380,1,0.97526705
SYNID0100071621,0,0.6764526
SYNID0100071649,0,0.5587247
SYNID0100072177,0,0.30262798
SYNID0100072346,0,0.18472436
SYNID0100072688,0,0.19703452
SYNID0100073103,0,0.38771856
SYNID0100073359,1,0.99804753
SYNID0100073582,0,0.20813501
SYNID0100073852,0,0.19182268
SYNID0100074035,0,0.36757416
SYNID0100074225,1,0.8855728
SYNID0100074354,0,0.17906772
SYNID0100074987,0,0.19953762
SYNID0100075150,0,0.33630034
SYNID0100075153,0,0.41179964
SYNID0100075323,0,0.28701413
SYNID0100075482,0,0.51050806
SYNID0100075839,0,0.48661914
SYNID0100076028,0,0.53767306
SYNID0100076341,0,0.17752707
SYNID0100076516,0,0.21184044
SYNID0100076652,0,0.20041044
SYNID0100076913,0,0.2947802
SYNID0100077134,0,0.18019164
SYNID0100077243,0,0.22247314
SYNID0100077523,0,0.34134647
SYNID0100077995,0,0.21030167
SYNID0100078139,0,0.5580137
SYNID0100078203,0,0.1816857
SYNID0100078242,0,0.16160469
SYNID0100078265,0,0.67784697
SYNID0100078395,0,0.58305717
SYNID0100078409,1,0.9462875
SYNID0100078509,0,0.58042055
SYNID0100078564,0,0.25005797
SYNID0100078622,0,0.73032725
SYNID0100078650,0,0.17953679
SYNID0100079311,0,0.56353843
SYNID0100079374,0,0.5429095
SYNID0100079439,0,0.62864953
SYNID0100079518,0,0.682356
SYNID0100079658,0,0.6592847
SYNID0100080063,0,0.5351718
SYNID0100080298,0,0.20710605
SYNID0100080577,0,0.1731804
SYNID0100080937,0,0.33044878
SYNID0100081225,0,0.16691361
SYNID0100081265,1,0.94126093
SYNID0100081360,0,0.43899968
SYNID0100082216,0,0.4139156
SYNID0100082291,0,0.29702324
SYNID0100082343,0,0.6072333
SYNID0100082513,0,0.22504766
SYNID0100082541,0,0.29781434
SYNID0100083124,0,0.18312296
SYNID0100083243,0,0.49501026
SYNID0100083294,0,0.64025235
SYNID0100083585,0,0.16836141
SYNID0100083736,0,0.49301288
SYNID0100084083,0,0.5758434
SYNID0100084135,0,0.6478287
SYNID0100084277,1,1.0
SYNID0100084306,0,0.17643493
SYNID0100084308,0,0.66384816
SYNID0100084693,0,0.2589616
SYNID0100085002,0,0.53372097
SYNID0100085106,0,0.27721077
SYNID0100085416,0,0.22519991
SYNID0100085712,0,0.20697497
SYNID0100085836,1,0.9871385
SYNID0100086014,0,0.59537977
SYNID0100087043,0,0.35539266
SYNID0100087342,0,0.22999416
SYNID0100087425,1,0.97426516
SYNID0100087546,0,0.42236125
SYNID0100087564,0,0.62886155
SYNID0100087809,0,0.18566965
SYNID0100088272,0,0.8076012
SYNID0100088455,0,0.47653687
SYNID0100088505,0,0.24048905
SYNID0100088603,0,0.583615
SYNID0100088611,0,0.41665402
SYNID0100088987,0,0.51742035
SYNID0100089434,1,0.93092185
SYNID0100089552,0,0.4565662
SYNID0100089992,0,0.5650138
SYNID0100090190,0,0.5288564
SYNID0100090388,0,0.6387363
SYNID0100090759,0,0.2708971
SYNID0100090794,0,0.5396117
SYNID0100090868,0,0.2963182
SYNID0100091306,0,0.3770458
SYNID0100091570,0,0.5993255
SYNID0100091865,0,0.25094303
SYNID0100091953,0,0.18524878
SYNID0100092221,0,0.3654582
SYNID0100092236,0,0.33351862
SYNID0100092359,0,0.33582446
SYNID0100092463,0,0.31256935
SYNID0100092493,0,0.3356962
SYNID0100092711,0,0.71708935
SYNID0100092825,0,0.43384796
SYNID0100092948,0,0.18495297
SYNID0100093365,0,0.45526955
SYNID0100093761,0,0.2471378
SYNID0100093807,0,0.5746839
SYNID0100093833,0,0.54390895
SYNID0100094154,0,0.65290225
SYNID0100094869,0,0.19878216
SYNID0100094906,0,0.39960837
SYNID0100095372,0,0.346607
SYNID0100095455,0,0.8697154
SYNID0100095620,0,0.5629742
SYNID0100095651,0,0.56631815
SYNID0100095747,0,0.5716493
SYNID0100095856,0,0.17817812
SYNID0100095898,0,0.25179806
SYNID0100095907,0,0.6485602
SYNID0100095968,0,0.51855487
SYNID0100096038,0,0.37005135
SYNID0100096061,0,0.20119072
SYNID0100096157,0,0.4621292
SYNID0100096175,0,0.61006325
SYNID0100096360,0,0.17522404
SYNID0100096445,0,0.15724011
SYNID0100096758,1,0.99925375
SYNID0100096912,0,0.6215643
SYNID0100097443,1,1.0
SYNID0100097523,0,0.19103935
SYNID0100097584,0,0.1700133
SYNID0100097915,0,0.6262843
SYNID0100098045,0,0.16146672
SYNID0100098417,0,0.48126087
SYNID0100098525,0,0.19183312
SYNID0100099223,0,0.3353791
SYNID0100099312,0,0.34542146
SYNID0100099617,0,0.21967167
SYNID0100099677,0,0.66983926
SYNID0100100208,0,0.58560055
SYNID0100100684,0,0.59567803
SYNID0100100859,0,0.3805112
SYNID0100101009,0,0.4767007
SYNID0100101090,0,0.452648
SYNID0100101105,0,0.23195204
SYNID0100101157,0,0.60605246
SYNID0100101393,0,0.35442203
SYNID0100101493,0,0.27397949
SYNID0100101898,0,0.25602916
SYNID0100102514,0,0.38800406
SYNID0100102587,0,0.6225571
SYNID0100102835,0,0.26536003
SYNID0100102872,0,0.28533408
SYNID0100103059,0,0.36165914
SYNID0100103070,0,0.5860288
SYNID0100103177,0,0.39718598
SYNID0100103354,0,0.599209
SYNID0100103920,0,0.2754085
SYNID0100104133,0,0.45638925
SYNID0100104357,0,0.46749792
SYNID0100104595,1,0.9041883
SYNID0100104707,0,0.6188321
SYNID0100104939,0,0.42138186
SYNID0100105089,0,0.486792
SYNID0100105128,0,0.5290374
SYNID0100105185,0,0.37734354
SYNID0100105208,1,1.0
SYNID0100105426,0,0.35766652
SYNID0100105596,0,0.37553826
SYNID0100105755,0,0.28242224
SYNID0100105795,0,0.6053178
SYNID0100105821,0,0.30584285
SYNID0100105949,0,0.67547566
SYNID0100106061,0,0.47350156
SYNID0100106225,0,0.18192501
SYNID0100106314,0,0.26564127
SYNID0100106349,0,0.5303119
SYNID0100106391,0,0.46842635
SYNID0100106397,0,0.6128624
SYNID0100106699,0,0.5216434
SYNID0100106792,0,0.37339023
SYNID0100106797,0,0.7148187
SYNID0100107241,0,0.64306086
SYNID0100107369,0,0.6965666
SYNID0100107610,0,0.26634252
SYNID0100107797,0,0.27067572
SYNID0100108189,0,0.21754389
SYNID0100108469,0,0.6332382
SYNID0100108565,1,0.9973829
SYNID0100108871,0,0.23519844
SYNID0100109970,0,0.5402044
SYNID0100110070,0,0.4744401
SYNID0100110441,0,0.4168043
SYNID0100110561,0,0.38224953
SYNID0100111056,0,0.18138567
SYNID0100111086,0,0.4564637
SYNID0100111105,0,0.7129258
SYNID0100111163,0,0.21779154
SYNID0100111335,1,0.97817683
SYNID0100111442,0,0.59337145
SYNID0100111566,0,0.36464357
SYNID0100111643,0,0.55478704
SYNID0100111818,0,0.36668363
SYNID0100112353,0,0.5118158
SYNID0100112567,0,0.26258266
SYNID0100112575,0,0.381585
SYNID0100112619,0,0.35563543
SYNID0100112765,0,0.1869247
SYNID0100113093,0,0.23184244
SYNID0100113129,0,0.5964217
SYNID0100113158,0,0.49756598
SYNID0100113374,0,0.30824095
SYNID0100114029,0,0.187083
SYNID0100114096,0,0.39741907
SYNID0100114164,0,0.44788468
SYNID0100114333,0,0.81486416
SYNID0100114472,0,0.20300765
SYNID0100114659,0,0.29888558
SYNID0100114670,0,0.6615096
SYNID0100114678,0,0.21023796
SYNID0100114824,0,0.1656352
SYNID0100115069,0,0.21657439
SYNID0100115121,0,0.24103987
SYNID0100115216,0,0.30146348
SYNID0100115270,0,0.34707847
SYNID0100115516,0,0.36613142
SYNID0100116610,1,0.99999934
SYNID0100116656,0,0.19284374
SYNID0100116825,0,0.4127797
SYNID0100117059,1,1.0
SYNID0100117121,0,0.44214267
SYNID0100117360,0,0.25105208
SYNID0100117463,1,1.0
SYNID0100117521,0,0.253618
SYNID0100117699,0,0.4005017
SYNID0100117701,0,0.1996944
SYNID0100117877,0,0.60534036
SYNID0100117937,0,0.20326997
SYNID0100117963,0,0.2961045
SYNID0100118087,0,0.77273554
SYNID0100118489,0,0.44807267
SYNID0100118572,0,0.17979807
SYNID0100118601,0,0.62759393
SYNID0100118680,0,0.67210597
SYNID0100118822,0,0.6348378
SYNID0100118838,0,0.61019206
SYNID0100119252,0,0.51445806
SYNID0100119747,0,0.31993768
SYNID0100120433,0,0.58019054
SYNID0100121231,0,0.33928892
SYNID0100121515,0,0.2308097
SYNID0100121528,0,0.15095621
SYNID0100121592,0,0.51887596
SYNID0100121722,0,0.49670884
SYNID0100121872,0,0.33365446
SYNID0100122051,0,0.2585426
SYNID0100122241,0,0.3292917
SYNID0100122251,0,0.25827482
SYNID0100122350,0,0.21397452
SYNID0100122425,0,0.2873235
SYNID0100123132,0,0.3538972
SYNID0100123140,0,0.46957576
SYNID0100123156,0,0.567922
SYNID0100123401,0,0.28346452
SYNID0100123418,0,0.49514687
SYNID0100123444,0,0.48651907
SYNID0100123487,0,0.51453257
SYNID0100123761,0,0.49235216
SYNID0100123808,0,0.5917738
SYNID0100123813,1,0.952014
SYNID0100123930,0,0.31484953
SYNID0100123973,0,0.5767025
SYNID0100124016,0,0.28794098
SYNID0100124599,0,0.18939328
SYNID0100125047,0,0.17618658
SYNID0100125313,0,0.6241525
SYNID0100125528,0,0.46374574
SYNID0100125637,0,0.70488495
SYNID0100125820,0,0.33397686
SYNID0100126001,0,0.74859226
SYNID0100126093,0,0.37346345
SYNID0100126450,0,0.29525676
SYNID0100126592,0,0.522365
SYNID0100126737,0,0.3385544
SYNID0100126818,0,0.62094975
SYNID0100126851,0,0.41518202
SYNID0100126889,0,0.1978291
SYNID0100127231,0,0.48903236
SYNID0100127594,0,0.33779374
SYNID0100127925,0,0.24600774
SYNID0100128365,0,0.194447
SYNID0100128372,0,0.58232117
SYNID0100128464,0,0.18197013
