customer_id,num_channels_used,late_night_txn_count,late_night_ratio,weekend_txn_count,activity_span_days,unique_countries,unique_provinces,unique_cities,geo_diversity_score,near_threshold_count,avg_txn_per_active_day,unique_merchant_categories,txn_to_income_ratio,label
BUS_00000,6,17,0.3469387755102041,13,316,4,4,5,53,0,1.0425531914893618,5,0.0029708627105265962,0
BUS_00001,7,15,0.3191489361702128,10,351,2,4,5,33,0,1.0217391304347827,5,0.009919366369680327,0
BUS_00002,5,12,0.1935483870967742,16,353,3,4,5,43,0,1.0508474576271187,5,0.08212440203070606,0
BUS_00003,6,12,0.2553191489361702,14,332,2,4,5,33,0,1.0930232558139534,5,0.13890129933415818,0
BUS_00004,7,11,0.20754716981132076,16,351,3,4,5,43,0,1.0392156862745099,5,0.05904027325301198,1
BUS_00005,7,9,0.18,16,348,4,4,5,53,0,1.0416666666666667,5,0.14158392292207406,0
BUS_00006,7,6,0.125,10,374,4,4,5,53,0,1.0434782608695652,4,0.008349936912728038,0
BUS_00007,7,9,0.25,14,325,2,4,5,33,0,1.0,5,0.020995972804183086,0
BUS_00008,6,14,0.3181818181818182,12,361,4,4,5,53,0,1.0731707317073171,5,0.04851990811249479,0
BUS_00009,7,6,0.1276595744680851,14,353,3,4,5,43,0,1.0444444444444445,5,0.011250095271830797,0
BUS_00010,7,7,0.175,14,362,3,4,4,42,0,1.0526315789473684,5,0.0026186393817959333,0
BUS_00011,7,17,0.34,9,352,4,4,5,53,0,1.1111111111111112,5,0.009293768383396125,0
BUS_00012,7,18,0.3103448275862069,20,354,3,4,5,43,0,1.0943396226415094,5,0.0499637865776726,0
BUS_00013,5,5,0.13157894736842105,10,348,3,4,5,43,0,1.027027027027027,5,0.015105288259209674,0
BUS_00014,7,9,0.19148936170212766,11,335,3,4,5,43,0,1.0444444444444445,4,0.015736025138376856,0
BUS_00015,7,15,0.26785714285714285,19,352,4,4,5,53,0,1.037037037037037,5,0.005612753238136621,0
BUS_00016,7,9,0.1956521739130435,16,362,2,4,5,33,0,1.0454545454545454,5,0.21219141340769557,0
BUS_00017,7,8,0.21052631578947367,7,346,3,4,5,43,0,1.0555555555555556,5,0.03487404228364586,0
BUS_00018,6,15,0.29411764705882354,16,351,3,4,5,43,0,1.02,5,0.10176353619012103,0
BUS_00019,7,15,0.2777777777777778,14,335,4,4,5,53,0,1.1020408163265305,5,0.05390488979311743,0
BUS_00020,6,10,0.20408163265306123,15,346,3,4,5,43,0,1.0425531914893618,5,0.0730199812777025,0
BUS_00021,7,11,0.1774193548387097,18,360,4,4,5,53,0,1.087719298245614,4,0.059951055858556146,0
BUS_00022,7,14,0.27450980392156865,19,337,3,4,5,43,0,1.0851063829787233,5,0.037909068573814445,0
